[2021-11-22 14:21:06] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 14:23:09] LoginController.java:196 : LOGOUT : manager, 127.0.0.1
[2021-11-22 14:23:10] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 14:56:08] LoginController.java:196 : LOGOUT : manager, 127.0.0.1
[2021-11-22 14:56:10] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 15:47:49] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 15:53:15] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 15:57:29] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 16:22:22] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 17:01:49] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 17:23:38] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 17:40:10] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 17:43:17] LoginController.java:144 : LOGIN : manager, 127.0.0.1
[2021-11-22 17:51:50] LoginController.java:144 : LOGIN : manager, 127.0.0.1
